quote_date,expiration,strike,option_type,bid_size_1545,bid_1545,ask_size_1545,ask_1545,underlying_bid_1545,underlying_ask_1545,trade_volume,open_interest
2019-06-26,2019-07-31,2340,P,1262,0.9,495,1,2917.8,2918.42,0,107
2019-06-26,2019-07-31,2350,C,70,568,70,575,2917.8,2918.42,0,0
2019-06-26,2019-07-31,2350,P,877,0.95,538,1.05,2917.8,2918.42,0,787
2019-06-26,2019-07-31,2360,C,70,558.4,70,565.1,2917.8,2918.42,0,0
2019-06-26,2019-07-31,2360,P,834,1,525,1.1,2917.8,2918.42,0,324
2019-06-26,2019-07-31,2370,C,70,548.2,70,554.9,2917.8,2918.42,0,0
2019-06-26,2019-07-31,2370,P,1095,1.05,518,1.15,2917.8,2918.42,0,181
2019-06-26,2019-07-31,2375,C,70,543.2,70,550.2,2917.8,2918.42,0,0
2019-06-26,2019-07-31,2375,P,503,1.1,19,1.15,2917.8,2918.42,32,912
2019-06-26,2019-07-31,2380,C,70,538,70,545,2917.8,2918.42,0,0
2019-06-26,2019-07-31,2380,P,1180,1.1,508,1.2,2917.8,2918.42,0,63
2019-06-26,2019-07-31,2390,C,70,528.3,70,535.3,2917.8,2918.42,0,0
2019-06-26,2019-07-31,2390,P,373,1.2,20,1.25,2917.8,2918.42,128,448
2019-06-26,2019-07-31,2400,C,70,518.4,70,525.4,2917.8,2918.42,0,0
2019-06-26,2019-07-31,2400,P,509,1.25,766,1.35,2917.8,2918.42,23,2940
2019-06-26,2019-07-31,2410,C,70,508.6,70,515.3,2917.8,2918.42,0,0
2019-06-26,2019-07-31,2410,P,911,1.3,489,1.4,2917.8,2918.42,0,152
2019-06-26,2019-07-31,2420,C,70,498.7,70,505.4,2917.8,2918.42,0,0
2019-06-26,2019-07-31,2420,P,458,1.4,19,1.45,2917.8,2918.42,0,112
2019-06-26,2019-07-31,2425,C,70,493.7,70,500.3,2917.8,2918.42,0,0
2019-06-26,2019-07-31,2425,P,348,1.45,28,1.5,2917.8,2918.42,2,1138
2019-06-26,2019-07-31,2430,C,70,488.8,70,495.5,2917.8,2918.42,0,0
2019-06-26,2019-07-31,2430,P,1034,1.45,20,1.55,2917.8,2918.42,0,130
2019-06-26,2019-07-31,2435,C,70,483.8,70,490.7,2917.8,2918.42,0,0
2019-06-26,2019-07-31,2435,P,834,1.5,490,1.6,2917.8,2918.42,0,74
2019-06-26,2019-07-31,2440,C,70,479,70,485.7,2917.8,2918.42,0,0
2019-06-26,2019-07-31,2440,P,765,1.55,525,1.65,2917.8,2918.42,0,127
2019-06-26,2019-07-31,2445,C,70,473.9,70,480.6,2917.8,2918.42,0,0
2019-06-26,2019-07-31,2445,P,521,1.6,515,1.7,2917.8,2918.42,0,89
2019-06-26,2019-07-31,2450,C,70,468.7,70,475.6,2917.8,2918.42,0,0
2019-06-26,2019-07-31,2450,P,495,1.65,545,1.75,2917.8,2918.42,0,3900
2019-06-26,2019-07-31,2455,C,70,464.1,70,470.8,2917.8,2918.42,0,0
2019-06-26,2019-07-31,2455,P,489,1.7,538,1.8,2917.8,2918.42,0,101
2019-06-26,2019-07-31,2460,C,70,459.4,70,466,2917.8,2918.42,0,0
2019-06-26,2019-07-31,2460,P,489,1.75,538,1.85,2917.8,2918.42,0,356
2019-06-26,2019-07-31,2465,C,70,454.4,70,461,2917.8,2918.42,0,0
2019-06-26,2019-07-31,2465,P,487,1.8,524,1.9,2917.8,2918.42,0,60
2019-06-26,2019-07-31,2470,C,70,449,70,455.9,2917.8,2918.42,0,0
2019-06-26,2019-07-31,2470,P,699,1.85,272,1.95,2917.8,2918.42,0,731
2019-06-26,2019-07-31,2475,C,70,444.3,70,451.2,2917.8,2918.42,0,0
2019-06-26,2019-07-31,2475,P,731,1.9,149,2,2917.8,2918.42,0,7139
2019-06-26,2019-07-31,2480,C,70,439.5,70,446.2,2917.8,2918.42,0,0
2019-06-26,2019-07-31,2480,P,306,2,28,2.05,2917.8,2918.42,1,521
2019-06-26,2019-07-31,2485,C,70,434.5,70,441.2,2917.8,2918.42,0,0
2019-06-26,2019-07-31,2485,P,302,2.05,684,2.15,2917.8,2918.42,0,45
2019-06-26,2019-07-31,2490,C,70,429.5,70,436.4,2917.8,2918.42,0,0
2019-06-26,2019-07-31,2490,P,686,2.1,263,2.2,2917.8,2918.42,0,387
2019-06-26,2019-07-31,2495,C,70,424.7,70,431.4,2917.8,2918.42,0,0
2019-06-26,2019-07-31,2495,P,719,2.15,19,2.25,2917.8,2918.42,0,40
2019-06-26,2019-07-31,2500,C,70,419.7,70,426.6,2917.8,2918.42,0,0
2019-06-26,2019-07-31,2500,P,370,2.25,665,2.35,2917.8,2918.42,601,15827
2019-06-26,2019-07-31,2505,C,70,414.8,70,421.7,2917.8,2918.42,0,0
2019-06-26,2019-07-31,2505,P,676,2.3,138,2.4,2917.8,2918.42,32,63
2019-06-26,2019-07-31,2510,C,70,409.9,70,416.5,2917.8,2918.42,0,0
2019-06-26,2019-07-31,2510,P,363,2.4,647,2.5,2917.8,2918.42,5,229
2019-06-26,2019-07-31,2515,C,70,405,70,411.8,2917.8,2918.42,0,0
2019-06-26,2019-07-31,2515,P,662,2.45,19,2.55,2917.8,2918.42,38,136
2019-06-26,2019-07-31,2520,C,70,400.1,70,406.9,2917.8,2918.42,0,0
2019-06-26,2019-07-31,2520,P,496,2.55,256,2.65,2917.8,2918.42,0,144
2019-06-26,2019-07-31,2525,C,40,397.4,40,399.7,2917.8,2918.42,0,1
2019-06-26,2019-07-31,2525,P,348,2.65,637,2.75,2917.8,2918.42,4,1126
2019-06-26,2019-07-31,2530,C,40,392.5,40,394.8,2917.8,2918.42,0,0
2019-06-26,2019-07-31,2530,P,269,2.75,628,2.85,2917.8,2918.42,4,335
2019-06-26,2019-07-31,2535,C,40,387.6,40,389.9,2917.8,2918.42,0,0
2019-06-26,2019-07-31,2535,P,665,2.8,18,2.9,2917.8,2918.42,0,154
2019-06-26,2019-07-31,2540,C,40,382.7,40,385,2917.8,2918.42,0,0
2019-06-26,2019-07-31,2540,P,636,2.9,27,3,2917.8,2918.42,52,347
2019-06-26,2019-07-31,2545,C,40,377.8,40,380.1,2917.8,2918.42,0,0
2019-06-26,2019-07-31,2545,P,652,3,18,3.1,2917.8,2918.42,34,46
2019-06-26,2019-07-31,2550,C,40,372.9,40,375.3,2917.8,2918.42,0,0
2019-06-26,2019-07-31,2550,P,637,3.1,1484,3.3,2917.8,2918.42,2,5686
2019-06-26,2019-07-31,2555,C,40,368,40,370.4,2917.8,2918.42,0,0
2019-06-26,2019-07-31,2555,P,640,3.2,1307,3.4,2917.8,2918.42,116,35
2019-06-26,2019-07-31,2560,C,40,363.2,40,365.5,2917.8,2918.42,0,0
2019-06-26,2019-07-31,2560,P,665,3.3,974,3.5,2917.8,2918.42,1,274
2019-06-26,2019-07-31,2565,C,40,358.3,40,360.6,2917.8,2918.42,0,0
2019-06-26,2019-07-31,2565,P,795,3.4,727,3.6,2917.8,2918.42,0,4
2019-06-26,2019-07-31,2570,C,40,353.4,40,355.8,2917.8,2918.42,0,0
2019-06-26,2019-07-31,2570,P,1107,3.5,427,3.7,2917.8,2918.42,0,141
2019-06-26,2019-07-31,2575,C,40,348.6,40,350.9,2917.8,2918.42,0,0
2019-06-26,2019-07-31,2575,P,332,3.7,16,3.8,2917.8,2918.42,0,3257
2019-06-26,2019-07-31,2580,C,40,343.7,40,346,2917.8,2918.42,0,0
2019-06-26,2019-07-31,2580,P,692,3.8,951,4,2917.8,2918.42,41,601
2019-06-26,2019-07-31,2585,C,40,338.9,40,341.2,2917.8,2918.42,0,0
2019-06-26,2019-07-31,2585,P,1041,3.9,386,4.1,2917.8,2918.42,77,43
2019-06-26,2019-07-31,2590,C,40,334.1,40,336.3,2917.8,2918.42,0,0
2019-06-26,2019-07-31,2590,P,612,4.1,1042,4.3,2917.8,2918.42,0,110
2019-06-26,2019-07-31,2595,C,40,329.2,40,331.5,2917.8,2918.42,0,0
2019-06-26,2019-07-31,2595,P,960,4.2,397,4.4,2917.8,2918.42,1,27
2019-06-26,2019-07-31,2600,C,40,324.4,40,326.7,2917.8,2918.42,0,1
2019-06-26,2019-07-31,2600,P,536,4.4,851,4.6,2917.8,2918.42,8,19838
2019-06-26,2019-07-31,2605,C,39,319.6,54,321.8,2917.8,2918.42,0,0
2019-06-26,2019-07-31,2605,P,241,4.6,277,4.7,2917.8,2918.42,92,37
2019-06-26,2019-07-31,2610,C,47,314.7,72,317,2917.8,2918.42,0,0
2019-06-26,2019-07-31,2610,P,638,4.7,454,4.9,2917.8,2918.42,0,254
